fuel_type,kms_driven,manufacturer,transmission,manufacturing_year,price_USD
Diesel,42462,Tata,Manual,2018,5181
Petrol,50000,Honda,Automatic,2016,7832
Petrol,85602,Honda,Manual,2016,4013
Petrol,78651,Hyundai,Manual,2015,4567
Petrol,16000,Hyundai,Manual,2017,6928
Petrol,86981,Hyundai,Manual,2016,5073
Diesel,53000,Honda,Manual,2020,8133
Petrol,76000,Hyundai,Manual,2018,11206
Petrol,49341,Hyundai,Manual,2015,10145
Petrol,56000,Hyundai,Manual,2014,5965
Petrol,56000,Honda,Manual,2013,3916
Petrol,71361,Hyundai,Manual,2017,6651
Petrol,14069,Tata,Manual,2022,9928
Petrol,53000,Tata,Automatic,2021,7832
Petrol,35000,Honda,Manual,2018,8977
Petrol,51690,Tata,Manual,2020,10266
Petrol,38671,Honda,Manual,2016,7531
Petrol,102614,Honda,Manual,2012,4832
Petrol,16570,Tata,Manual,2019,6302
Petrol,72692,Honda,Manual,2016,8254
Petrol,19000,Tata,Manual,2022,8977
Petrol,46310,Tata,Automatic,2019,10531
Petrol,108662,Tata,Automatic,2019,8579
Petrol,34312,Tata,Manual,2020,6712
Petrol,45221,Hyundai,Manual,2010,2832
Petrol,58857,Honda,Manual,2016,7832
Petrol,56000,Honda,Manual,2013,3916
Diesel,54000,Tata,Manual,2020,12037
Diesel,45084,Hyundai,Manual,2018,11109
Petrol,83000,Honda,Automatic,2015,7531
Petrol,49000,Honda,Manual,2017,7049
Petrol,50000,Honda,Automatic,2016,7832
Petrol,29502,Tata,Manual,2021,9109
Petrol,90995,Hyundai,Manual,2014,4037
Petrol,47877,Honda,Manual,2018,5687
Petrol,12952,Tata,Automatic,2022,13242
Petrol,54630,Honda,Automatic,2015,8266
Petrol,34769,Honda,Automatic,2020,15760
Diesel,30000,Tata,Manual,2022,8736
Diesel,56458,Honda,Manual,2017,6880
Petrol,13000,Hyundai,Automatic,2021,10724
Petrol,68000,Hyundai,Manual,2018,4639
Diesel,53000,Tata,Automatic,2021,24097
Diesel,68499,Hyundai,Automatic,2019,13049
Diesel,24412,Hyundai,Manual,2017,9133
Petrol,61000,Honda,Manual,2015,5543
Petrol,10957,Tata,Automatic,2020,9073
Petrol,150000,Honda,Automatic,2012,5121
Petrol,94000,Honda,Manual,2017,5724
Petrol,36739,Hyundai,Manual,2018,6169
Diesel,93774,Honda,Manual,2017,8615
Petrol,62155,Hyundai,Manual,2015,5049
Petrol,16499,Hyundai,Automatic,2021,8603
Petrol,75000,Hyundai,Manual,2010,2290
Diesel,41000,Tata,Automatic,2021,24097
Diesel,65400,Hyundai,Automatic,2018,13133
Petrol,53747,Hyundai,Manual,2017,6952
Petrol,16016,Hyundai,Manual,2011,2229
Petrol,73580,Honda,Manual,2014,5615
Diesel,30000,Hyundai,Manual,2020,9398
Petrol,1800,Hyundai,Manual,2013,3796
Diesel,30000,Tata,Manual,2022,8736
Diesel,54000,Tata,Automatic,2021,21085
Petrol,74000,Honda,Manual,2018,8314
Diesel,7400,Tata,Automatic,2023,24399
Diesel,44000,Honda,Manual,2016,6627
Petrol,87172,Hyundai,Manual,2018,9495
Petrol,90000,Honda,Manual,2015,6808
Petrol,24020,Hyundai,Manual,2015,5784
Petrol,67264,Hyundai,Manual,2014,3940
Petrol,47057,Hyundai,Manual,2016,3820
Diesel,65000,Hyundai,Manual,2018,7832
Petrol,22316,Hyundai,Automatic,2014,5471
Petrol,6000,Tata,Manual,2022,8374
Petrol,40000,Honda,Automatic,2020,13194
Petrol,51000,Hyundai,Automatic,2019,11748
Petrol,100000,Honda,Manual,2017,4760
Petrol,83690,Honda,Manual,2017,5471
Petrol,14069,Tata,Manual,2022,9928
Petrol,76441,Honda,Manual,2015,3928
Petrol,5252,Honda,Automatic,2021,14543
Diesel,88000,Hyundai,Automatic,2018,18676
Petrol,6500,Tata,Manual,2021,9615
Petrol,65170,Hyundai,Manual,2015,3639
Petrol,100657,Honda,Automatic,2018,6832
Petrol,30400,Honda,Manual,2017,6446
Diesel,101000,Honda,Manual,2014,6928
Petrol,46310,Tata,Automatic,2019,10531
Petrol,73086,Honda,Manual,2013,4519
Diesel,45000,Tata,Manual,2019,16567
Petrol,36522,Tata,Manual,2021,6555
Petrol,6000,Tata,Manual,2022,8374
Petrol,9000,Tata,Automatic,2022,10543
Petrol,39718,Hyundai,Manual,2021,9133
Diesel,41000,Tata,Automatic,2021,24097
Diesel,29294,Tata,Manual,2019,16447
Petrol,23588,Hyundai,Manual,2020,11085
Petrol,32000,Hyundai,Automatic,2018,13133
Petrol,38000,Hyundai,Manual,2019,6748
Petrol,27138,Tata,Manual,2020,7133
Petrol,18500,Honda,Automatic,2020,15543
Diesel,54000,Tata,Automatic,2021,21085
Petrol,65000,Honda,Manual,2015,7531
Petrol,50570,Honda,Manual,2012,3374
Petrol,30500,Honda,Automatic,2019,27652
Diesel,26000,Tata,Automatic,2021,24097
Petrol,108662,Tata,Automatic,2019,8579
Petrol,36346,Hyundai,Automatic,2020,18338
Petrol,96241,Hyundai,Manual,2016,4543
Petrol,26092,Tata,Manual,2017,5422
Diesel,46912,Tata,Automatic,2021,19579
Diesel,29200,Honda,Manual,2019,10543
Diesel,44275,Tata,Manual,2021,7471
Petrol,87000,Honda,Manual,2013,4217
Petrol,62700,Hyundai,Manual,2016,6290
Petrol,150000,Honda,Automatic,2012,5121
Petrol,76441,Honda,Manual,2015,3928
Petrol,63307,Hyundai,Manual,2018,6555
Petrol,38963,Hyundai,Manual,2014,4977
Diesel,16683,Tata,Automatic,2022,23182
Petrol,75000,Tata,Manual,2019,6868
Petrol,16763,Hyundai,Manual,2021,11675
Diesel,26000,Tata,Automatic,2021,24097
Petrol,84000,Tata,Manual,2019,10483
Petrol,96660,Hyundai,Manual,2012,2976
Diesel,45000,Tata,Manual,2019,16567
Diesel,52000,Tata,Manual,2015,1808
Petrol,40000,Honda,Automatic,2020,13194
Petrol,16570,Tata,Manual,2019,6302
Diesel,84000,Honda,Manual,2015,6326
Petrol,75865,Hyundai,Manual,2013,3193
Petrol,77482,Tata,Manual,2017,4808
Petrol,38616,Honda,Manual,2019,8928
Diesel,39000,Tata,Manual,2019,16808
Petrol,52565,Honda,Manual,2014,5025
Petrol,47975,Hyundai,Manual,2017,5977
Diesel,64275,Hyundai,Manual,2015,7567
Diesel,84000,Hyundai,Automatic,2018,19158
Petrol,55485,Honda,Manual,2015,4037
Petrol,29502,Tata,Manual,2021,9109
Petrol,23000,Hyundai,Manual,2018,6205
Diesel,91000,Honda,Manual,2014,4760
Petrol,11501,Tata,Manual,2022,9928
Petrol,28783,Tata,Manual,2019,9663
